,id,name,price,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,guests_included,availability_365,neighbourhood,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,latitude,longitude,review_scores_value,bed_type,room_type,cancellation_policy,property_type
22,360702,"Stylish, spacious, & clean loft",1546.0,7,1.0,4.0,4.0,2000.0,900.0,1,0.0,7,30,1,83,Grünerløkka,9,98.0,10.0,10.0,10.0,9.0,59.93113,10.77329,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
23,360902,Cozy/small studio near metrostation Majorstua/Oslo,665.0,2,1.0,0.0,1.0,3000.0,355.0,1,355.0,1,365,1,243,Majorstuen,28,96.0,10.0,10.0,10.0,10.0,59.931999999999995,10.7119,9.0,Real Bed,Entire home/apt,moderate,Apartment
24,361904,Room for rent in large aptmt Oslo,1460.0,3,1.0,1.0,1.0,0.0,293.0,1,976.0,2,180,1,179,Frogner,4,95.0,9.0,10.0,10.0,9.0,59.91786999999999,10.69012,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
25,376678,"Best Oslo location - Karl Johan, OsloMet, Schrøder",406.0,2,1.0,1.0,1.0,830.0,244.0,1,195.0,1,60,1,281,St. Hanshaugen,101,99.0,10.0,10.0,10.0,10.0,59.91944,10.740089999999999,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
26,386879,OSLO'S NICEST APARTMENT WITH ROOF TERRACE,518.0,4,1.0,2.0,2.0,0.0,130.0,1,138.0,7,90,1,45,St. Hanshaugen,47,95.0,9.0,9.0,10.0,10.0,59.92033000000001,10.74902,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
27,397657,Charming apartment in central Oslo,648.0,2,1.0,1.0,1.0,0.0,0.0,1,0.0,3,30,1,47,Grünerløkka,15,84.0,9.0,9.0,9.0,9.0,59.92595,10.75105,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
28,400913,Room in FAM. HOUSE - IDEAL LOCATION,752.0,6,1.0,1.0,4.0,2000.0,0.0,2,350.0,2,30,2,0,Grünerløkka,23,92.0,10.0,9.0,9.0,10.0,59.95905,10.69547,9.0,Real Bed,Private room,flexible,House
29,405953,Wonderful central loft apartment,1503.0,6,1.0,2.0,4.0,0.0,600.0,1,0.0,3,30,1,16,Grünerløkka,7,100.0,10.0,10.0,10.0,10.0,59.92159,10.769680000000001,10.0,Real Bed,Entire home/apt,moderate,Apartment
30,408359,Cozy and Colorful at Grünerløkka,847.0,5,1.0,1.0,2.0,775.0,200.0,2,125.0,3,30,2,21,Grünerløkka,67,97.0,10.0,10.0,10.0,10.0,59.926840000000006,10.76483,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
31,413431,"Trendy & super central, Grünerløkka",752.0,3,1.0,1.0,1.0,0.0,250.0,2,100.0,5,30,2,169,Grünerløkka,6,100.0,10.0,10.0,10.0,10.0,59.926190000000005,10.76101,10.0,Real Bed,Entire home/apt,moderate,Apartment
32,422607,Lovely Apt w garden in city centre,596.0,2,1.0,1.0,1.0,2000.0,300.0,1,0.0,3,30,1,0,Sagene,0,100.0,10.0,10.0,10.0,10.0,59.93014,10.75243,10.0,Real Bed,Entire home/apt,moderate,Apartment
33,430022,Cosy flat in central Oslo,717.0,3,1.0,2.0,2.0,1500.0,0.0,2,100.0,2,60,2,0,Sagene,24,93.0,9.0,10.0,10.0,9.0,59.93824,10.75888,9.0,Real Bed,Entire home/apt,flexible,Apartment
34,444639,Big cozy room in the heart of Oslo!,536.0,3,1.0,1.0,1.0,0.0,244.0,1,244.0,1,1125,1,365,Sentrum,22,99.0,10.0,10.0,10.0,10.0,59.9153,10.72279,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
35,450026,Günerløkkas vakreste loftsleilighet,1728.0,1,1.0,1.0,4.0,0.0,0.0,1,0.0,5,19,1,365,Grünerløkka,0,100.0,10.0,10.0,10.0,10.0,59.91964,10.762839999999999,10.0,Real Bed,Private room,moderate,Aparthotel
36,462347,Spacious MIDDLE of Oslo with balcony!,1097.0,3,1.0,1.0,2.0,0.0,500.0,1,0.0,3,30,1,0,St. Hanshaugen,0,100.0,10.0,10.0,10.0,10.0,59.91863000000001,10.74656,10.0,Real Bed,Entire home/apt,moderate,Apartment
